,env_br_per_min,scene_br_per_min,seq_per min,light,0 face,1 face,2 faces,3 faces,4+ faces,0 pers,1 pers,2 pers,3 pers,4 pers,5+ pers
241_14,7.7,7.7,2.2,13.2,100.0,0.0,0.0,0.0,0.0,7.4,92.6,0.0,0.0,0.0,0.0
242_14,6.5,4.9,4.9,15.6,91.7,8.3,0.0,0.0,0.0,5.6,50.0,33.3,11.1,0.0,0.0
243_5,0.0,16.8,16.8,27.0,41.7,43.8,14.6,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
244_11,14.3,7.2,5.4,46.5,100.0,0.0,0.0,0.0,0.0,31.2,68.8,0.0,0.0,0.0,0.0
245_3,16.1,9.4,2.7,28.4,14.0,86.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0
246_14,3.7,4.9,2.5,15.3,100.0,0.0,0.0,0.0,0.0,0.0,41.7,0.0,41.7,16.7,0.0
247_15,8.6,8.6,8.6,37.1,100.0,0.0,0.0,0.0,0.0,50.0,30.0,10.0,0.0,0.0,10.0
248_2,1.7,3.3,3.3,24.0,65.7,34.3,0.0,0.0,0.0,27.8,27.8,27.8,16.7,0.0,0.0
249_15,22.5,15.0,15.0,31.6,100.0,0.0,0.0,0.0,0.0,66.7,16.7,8.3,0.0,0.0,8.3
24_4,29.2,16.2,2.2,18.3,57.4,42.6,0.0,0.0,0.0,0.0,48.1,37.0,0.0,14.8,0.0
250_2,1.5,12.2,3.1,8.7,89.5,10.5,0.0,0.0,0.0,0.0,42.1,5.3,21.1,26.3,5.3
251_2,17.5,26.2,26.2,11.3,92.3,7.7,0.0,0.0,0.0,0.0,28.6,28.6,42.9,0.0,0.0
252_11,16.0,10.7,5.3,23.0,39.5,58.1,2.3,0.0,0.0,0.0,59.1,27.3,4.5,9.1,0.0
253_11,11.9,11.9,4.5,31.8,41.0,56.4,2.6,0.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0
254_12,12.9,15.0,12.9,41.7,55.6,40.7,3.7,0.0,0.0,0.0,14.3,42.9,14.3,21.4,7.1
255_10,10.0,4.5,1.7,33.5,6.8,93.2,0.0,0.0,0.0,1.9,46.2,15.4,15.4,9.6,11.5
256_1,13.8,3.7,3.7,26.5,61.9,36.5,1.6,0.0,0.0,0.0,3.1,96.9,0.0,0.0,0.0
257_8,17.3,12.0,4.0,23.4,93.2,6.8,0.0,0.0,0.0,9.1,63.6,9.1,18.2,0.0,0.0
258_10,13.9,14.8,4.6,32.8,43.5,56.5,0.0,0.0,0.0,0.0,32.3,61.3,6.5,0.0,0.0
259_15,15.4,12.6,8.4,40.8,65.9,34.1,0.0,0.0,0.0,19.0,33.3,23.8,4.8,0.0,19.0
25_13,20.6,24.0,13.7,32.6,5.6,50.0,44.4,0.0,0.0,0.0,22.2,55.6,22.2,0.0,0.0
260_2,15.5,17.0,6.2,16.9,78.9,21.1,0.0,0.0,0.0,5.3,84.2,10.5,0.0,0.0,0.0
261_6,0.7,4.8,1.4,7.0,85.7,14.3,0.0,0.0,0.0,0.0,28.6,71.4,0.0,0.0,0.0
262_11,11.0,12.2,6.1,17.3,83.0,14.9,2.1,0.0,0.0,0.0,4.2,45.8,8.3,29.2,12.5
263_10,10.3,11.8,8.8,36.9,76.9,23.1,0.0,0.0,0.0,5.0,40.0,55.0,0.0,0.0,0.0
264_2,0.0,10.0,10.0,18.1,100.0,0.0,0.0,0.0,0.0,8.3,33.3,58.3,0.0,0.0,0.0
265_15,18.0,6.3,5.4,35.2,64.1,31.2,1.6,3.1,0.0,9.4,68.8,9.4,6.2,0.0,6.2
266_2,3.8,1.9,1.9,11.9,85.5,14.5,0.0,0.0,0.0,6.5,35.5,19.4,12.9,22.6,3.2
267_15,14.4,10.8,9.0,34.3,28.1,18.8,0.0,0.0,53.1,0.0,25.0,6.2,6.2,0.0,62.5
268_4,20.2,13.9,7.6,28.4,56.5,43.5,0.0,0.0,0.0,4.3,78.3,8.7,4.3,4.3,0.0
269_11,6.6,13.3,3.3,16.3,88.5,11.5,0.0,0.0,0.0,0.0,46.2,53.8,0.0,0.0,0.0
26_15,22.9,22.9,8.6,21.5,95.0,5.0,0.0,0.0,0.0,10.0,30.0,20.0,30.0,10.0,0.0
270_13,21.5,13.1,1.5,22.1,19.2,17.9,55.1,7.7,0.0,0.0,5.1,53.8,20.5,0.0,20.5
271_14,0.0,6.4,1.8,6.1,100.0,0.0,0.0,0.0,0.0,0.0,65.6,34.4,0.0,0.0,0.0
272_11,5.5,7.4,5.5,29.1,35.5,48.4,16.1,0.0,0.0,0.0,12.5,31.2,56.2,0.0,0.0
273_6,10.2,7.7,5.1,17.1,84.4,13.3,2.2,0.0,0.0,8.7,17.4,13.0,30.4,30.4,0.0
274_9,11.1,7.9,7.9,35.7,100.0,0.0,0.0,0.0,0.0,0.0,10.5,42.1,47.4,0.0,0.0
275_5,3.5,3.5,2.3,11.9,93.9,6.1,0.0,0.0,0.0,8.0,32.0,60.0,0.0,0.0,0.0
276_11,14.9,16.0,6.4,32.9,7.4,85.2,7.4,0.0,0.0,0.0,77.8,22.2,0.0,0.0,0.0
277_2,6.3,6.3,4.2,19.0,92.9,7.1,0.0,0.0,0.0,0.0,14.3,14.3,71.4,0.0,0.0
278_14,14.5,4.6,1.2,17.1,69.0,31.0,0.0,0.0,0.0,0.0,86.0,14.0,0.0,0.0,0.0
279_11,10.4,10.4,6.0,33.4,87.2,12.8,0.0,0.0,0.0,5.0,30.0,65.0,0.0,0.0,0.0
27_14,0.0,6.1,6.1,8.8,84.2,15.8,0.0,0.0,0.0,0.0,30.0,70.0,0.0,0.0,0.0
280_11,9.9,9.9,9.9,52.9,77.8,22.2,0.0,0.0,0.0,0.0,33.3,0.0,66.7,0.0,0.0
281_13,23.3,24.5,3.5,19.2,7.7,21.2,71.2,0.0,0.0,0.0,11.5,30.8,7.7,26.9,23.1
282_6,5.3,9.2,5.3,14.5,86.4,13.6,0.0,0.0,0.0,0.0,36.4,54.5,9.1,0.0,0.0
283_14,1.6,3.2,3.2,23.3,97.3,2.7,0.0,0.0,0.0,0.0,15.8,84.2,0.0,0.0,0.0
284_6,0.0,2.0,1.0,6.8,100.0,0.0,0.0,0.0,0.0,3.4,41.4,55.2,0.0,0.0,0.0
285_2,9.7,6.5,6.5,24.9,100.0,0.0,0.0,0.0,0.0,11.1,22.2,11.1,11.1,33.3,11.1
286_14,10.7,9.7,1.9,9.9,93.3,6.7,0.0,0.0,0.0,6.7,90.0,3.3,0.0,0.0,0.0
287_8,14.6,15.8,3.4,14.2,100.0,0.0,0.0,0.0,0.0,0.0,84.6,15.4,0.0,0.0,0.0
288_13,18.4,18.4,6.7,34.6,51.4,34.7,13.9,0.0,0.0,0.0,50.0,27.8,22.2,0.0,0.0
289_14,3.3,6.5,6.5,18.2,88.9,11.1,0.0,0.0,0.0,0.0,22.2,11.1,66.7,0.0,0.0
28_2,2.5,3.7,2.5,36.3,66.0,19.1,14.9,0.0,0.0,0.0,4.2,41.7,29.2,25.0,0.0
290_2,2.2,4.3,4.3,32.7,96.3,3.7,0.0,0.0,0.0,64.3,28.6,7.1,0.0,0.0,0.0
