,0 pers,1 pers,2 pers,3 pers,4 pers,5 pers
43_11,0.09375,0.28125,0.1875,0.4375,0.0,0.0
278_14,0.0,0.86,0.14,0.0,0.0,0.0
112_8,0.7,0.3,0.0,0.0,0.0,0.0
167_4,0.0,0.05555555555555555,0.16666666666666666,0.3611111111111111,0.25,0.16666666666666666
80_9,0.0,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.21428571428571427,0.14285714285714285
177_13,0.0,0.42857142857142855,0.0,0.0,0.07142857142857142,0.5
81_15,0.2702702702702703,0.2972972972972973,0.43243243243243246,0.0,0.0,0.0
236_15,0.03225806451612903,0.3225806451612903,0.5483870967741935,0.0,0.06451612903225806,0.03225806451612903
163_4,0.0,0.045454545454545456,0.0,0.5454545454545454,0.0,0.4090909090909091
257_8,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.18181818181818182,0.0,0.0
274_9,0.0,0.10526315789473684,0.42105263157894735,0.47368421052631576,0.0,0.0
216_2,0.0,0.0,1.0,0.0,0.0,0.0
295_15,0.1875,0.1875,0.125,0.25,0.125,0.125
296_8,0.75,0.2,0.0,0.05,0.0,0.0
51_5,0.07894736842105263,0.3684210526315789,0.5526315789473685,0.0,0.0,0.0
288_13,0.0,0.5,0.2777777777777778,0.2222222222222222,0.0,0.0
129_5,0.0,0.6190476190476191,0.38095238095238093,0.0,0.0,0.0
21_15,0.0,0.36363636363636365,0.0,0.0,0.0,0.6363636363636364
